example,text
1,As the ladder was moved to be twice as high as before the y values increased and the x values decreased as the ladder now covers a smaller width of the floor. Slope if found by calculating the change in y values over the change in x values. As the y values increased and the x values decreased there would be a greater slope since we would be dividing by a smaller value resulting in a higher overall value. The slope would be more than twice of what it was before because not only the y values changed but the x values as well. 
1,"As the rise doubles and goes from x to 2x, the run decreases. This means that the slope of the ladder is now more than twice what it was before."
0,You don't know how much the run of the slope changed.
0,"Since the length of the ladder is fixed, the triangle made between the ladder, floor and wall would remain the same, thus ratios can be used. To find the lengths of the first (a) and second triangle (b), the ratio of x/2x can be used. Therefore x/2x = b/a. Once x divides out, the resulting equation is b/a = 1/2. By rearranging this equation, it is evident that b = a/2 and a = 2b. "
1,"As the distance from the top of the ladder to the ground gets larger, so does the distance from the base of the ladder to the wall. Therefore, the slope will be more than two times than what it was before. "
1,Since the formula is rise/run and then height doubled and the base decreased then the new slope will be more than twice of what it was before.
0,"We do not know the length of the ladder, therefore we do not have enough information."
1,"The slope of the ladder is more than twice than what is was before. The formula for slope is given by rise over run. In this example, the run decreases as the ladder is lifted higher and the rise increases, hence we are dividing the rise by a smaller amount and the slope will be more than twice. "
0,"Since we don't know either the length of the ladder or the other side length of the triangle that is being formed, we cannot be sure whether 'a' through 'd' will be correct. (?)"
0,"a slope is rise/run. initially the slope is x/a number roughly double of x. afterwards, the slope is 2x/a number roughly half of x. so if the initial slope is 1/2, and the other slope is 2/1, making the slope much larger than before."
0,"The slope is equal to rise over run. In this problem, the rise is doubled and the run decreases by half. If you write this out, you can solve it to see that the slope multiplies itself by 4, which is more than double. "
0,Looking at the slope and the increase in the slope. It shows that the second lader is twice the slope of the first.
0,"The height of the triangle increases by (2x), so proportionally, the slope is more than twice what it was before."
0,"If height x is multiplied by a factor of two, it is like multiplying the x in y=mx+b by two as well. Therefore the slope would be exactly twice what it was before."
0,There is just a y intercept that is two times the initial y intercept. There is not sufficient info to determine the difference in slope.
1,"Using test values allows the reader of this question to estimate the difference between slopes. Assuming the rise/run in the first diagram is 1/2 and the second diagram is 2/1, the difference in slope is 4 times."
1,The graph has been stretched vertically by a factor of 2 
0,"The height increases at the same rate as the distance between the wall and ladder decreases. By this logic, the slope should quadruple."
0,use Pythagorean theorem? 
0,we have no information on the value of the x-axis therefore it is difficult to tell whether or not the slope has changed or stayed the same. 
0,"since the ladder is fixed, if the rise doubled, the run would then be cut in half, which would make it exactly 2x what the previous slope was no matter what. "
0,"Since the output is twice as it was before, then the slope of the ladder is twice as it was before."
0,"





![FDFC1158-0F93-4700-B6B3-B263F23B1A3B.jpeg](https://usercontent.crowdmark.com/ef16fc1a-8c3e-416f-92b7-2bb2aa9328ef.jpeg)





"
1,"Since the slope of the ladder is equal to rise/run, and the rise increased from 'x' to '2x' there is a minimum increase of twice the original slope assuming that the run stayed the same.  However, from looking at the diagram it can be determined that the run has decreased going from a rise of 'x' to '2x', and therefore the overall slope must have increased more than twice of what it was before. "
1,"As the values on the y axis increase, values on the x axis decrease, causing the slope to increase to more than twice what is was before because the value on the y axis is being divided by less"
0,We would need to know how far the base of the ladder is from the wall to accurately know.
0,the angle is two times more but the tangent of the angle (slope) is less than 2 times more
0,"Slope is now steeper, X value is multiplied by exactly 2"
1,"for the distance between the floor and wall to be doubled, the distance between the wall and base of the ladder is shortened (because the ladder is a fixed length)











as the slope formula is rise/run





a greater rise and a smaller run would result in a larger slope value





if ONLY the rise increased, and the run stayed the same, the value of the slope would be double the original. therefore, the slope of the second image must be more than double the original slope











"
1,"Let a= the ladder distance to the wall in scenario 1 and let b = the distance in scenario 2. Write a ratio of slope final over slope initial. Since the side length on the second triangle is 2x, the function reduces to 2a/b. A/b will always be greater than 1 because a is longer than b. So slope final=at least 2 times slope initial."
0,"I just tried to use some numbers. If the x is 1 and the run is 2, then the slope would be 1/2. Now that they are flipped, the slope would be 2 which is a 4 times increase of the slope."
1,"Slope is rise over run. As rise doubles, and run decreases by about half (assumption from diagram). That means slope increases about ~4x."
1,"rise/run





the rise increases by 2 and the run decreases"
0,I compared the lengths in the 2 pictures.
0,"Due to proportionalities, the slope will be greater than it was originally."
0,The base of the triangle does not remain the same.
1,"slope = rise/ run. when we double the height (or the rise) and decreasing the run, the slope will increase because the ladder is steeper."
0,"In order to double the reach of the ladder, the base value decreases by 1/2. this means that when you calculate the slope of the original ladder placement, you get 1/2. And when you calculate the slope of the second ladder placement, you get 2. Therefore, the slope changes by more than double."
0,"To get the slope of the ladder, I will have to use the slope formula slope=rise/run. I am not given any details about the y-axis which I need for the run. This makes it difficult for me to figure out what the slope of the ladder after it was fixed is."
0,"this is because on the left side it says ""x"" and the right side says ""2x"", meaning that the slope would be exactly twice what it was before."
1,"If the y intercept is doubled and the x intercepts remained the same, THEN the slope would be doubled. However, since the ladder has a fixed length, the x intercept would be changed meaning that the slope would be more than doubled. "
0,"





![20220912_173419.jpg](https://usercontent.crowdmark.com/b476d9d7-3aec-4c3f-b69d-5ff20dc3cb9e.jpg)





"
0,"The steeper a line is, the greater slope it has (meaning larger value). As such, since the ladder is at a steeper angle in the after picture than the before picture, the slope value has increased which corresponds to option b."
0,"The length of the ladder did not change, only the position of the ladder did"
0,Since the output of each input has doubled it means the slope has doubled.
1,"Did not know how to solve this problem algebraically, but M has to be greater than 2 after adjusting the ladder. This is because the ladder's final top position (y intercept) has also increased along with the x intercept position, so m would thus be greater than 2 or else this ladder's length itself would have to become longer. Could also be m = 2 if the height did not change but the bottom x-int position changed. Therefore, m is greater than 2.





![Math 1LS3 Baseline Assignment-12.jpg](https://usercontent.crowdmark.com/3c626240-b30b-402e-9244-e8880d9f9735.jpg)





"
1,Ladder is fixed length so when rise increases run must decrease which leads me to believe that it has to be more than twice than what it was initially.
0,"Since slope is rise/run and the rise increased by 2, the slope is twice as before. We can also tell that the slope has increased because the graph became steeper. "
0,"There is no information as to how the x-axis changes relative to the y-axis (height). Because the slope is calculated by doing the change in y over the change in x, there is not enough information given to determine if any of a through d is correct."
1,"The slope would be more than twice what it was before because as the ladder's length is maintained, and you're basically ""pushing up"" the ladder. In contrast, if one was to just double the triangle's vertical length by 2, the slope would be exactly twice as much of what it was before. However, in this example, the base length is shortened. As a result, the slope would accordingly increase, as the base length of the triangle is inversely proportional to the slope. 











Therefore, the answer would be that the slope would be more than twice of what it was before. 





"
0,"i have attached my work





![V=3RRS.png](https://usercontent.crowdmark.com/5f5a15ea-d943-4f9b-b359-515c628b7383.png)





"
0,there are no numbers to determine the slope of either ladders are 
0,The slope will have increased but by less than 2x what it was before 
1,"If we take into account that the height has doubled AND the base has shortened, then the two factors contribute together to give a bigger slope than just double. If only one of these factors were manipulated, then the slope would be exactly twice more."
0,I started off by giving values to the size and the value of x. Using them i found the vlaue of the last side of the triangle. From there i found the slope of each ladder and the ladder that was more upright more then doubled the other slope.
0,"We only have one variable, so we can't actually determine the exact value of slopes."
0,we do not know the new based length of the ladder. 
0,"I believe there isn't enough information, because although we can algebraically determine the value for the y axis, we don't have any information for the x-axis, other than eye balling it."
0,"It is clear from the picture that the slope is not the same as it was before. Although the picture itself did not provide values to be able to check, upon creating values and using the relationships provided, the three examples all proved that the slope is always more than twice what it was before. "
0,"If x is multiplied by 2, everything is (scalar multiple)"
0,"Since the height increases by 2 from the initial height, the ladder is a fixed length and the slope is proportionate to the height (m=rise/run), the slope also increases by 2. "
1,"Slope = delta y / delta x. The delta y for the first position is x. delta x for the first position is 2x. Therefore, m= 1/2 for the first position. 











The delta y and delta x have reversed for the second position. Therefore, the slope of the second position is 2, which is more than double the slope of the first position."
1,The ladder is only a certain length so it becomes steeper as the top is raised.
1,"I know that my rise will be twice as more then before, but my run is decreasing, so that means my slope must be more than twice it was before. "
1,The distance from the bottom of the ladder to the wall decreased at the same time that the height of the ladder increased. If only the height of the ladder increased then the gradient would have increased by exactly two but since the bottom of the ladder moved  towards the wall as well the gradient increased further. 
1,"Start by assigning a value to both the ladder and the variable x. For the first ladder situation, use pythagorean theorem to find the distance from the wall to ladder base. Then take the slope using y/x. For the second ladder situation follow the same steps, but use 2x. Once again, find the second scenario's slope. When you observe the two slopes, you notice that the second slope value is more than double the first, leaving you with your answer."
0,The slope grows st
0,"Slope can be described as rise / run. In the first example, I assumed the values were 1 (rise) / 1 (run). In the second example, the change in y value doubled, making the new slope 2/1, resulting in a slope of 2 (exactly twice what it was before). "
0,"





[Q13.pdf](https://app.crowdmark.com/text-attachments/6f3b28cf-5f3b-478a-ae94-4549230f6a1a)





"
0,"slope= rise over run, 





rise is x2 meaning it will increase, first option is incorrect





not sure about the rest, need to ask during office hours."
0,"





![Q13.jpg](https://usercontent.crowdmark.com/2d296597-726f-4f17-9bbc-9a00c5fd6104.jpg)





"
1,"By imagining the ladder as a slope with a fixed length, then doubling the rise, we see that the run will decrease. This is because the ladder is at a fixed length, and the run must decrease to compensate for the doubling of the rise. Therefore, the slope must be greater than 2x the original slope."
1,since the y value is increasing it means the x value has to decrease creating a larger slope.
0,If the height is doubled the slope would be doubled too
1,it is already twice the slope by changing the height but the bottom got shorter so it is more than twice
0,"Since the ladder goes up twice the amount it was before, the slope would also be exactly twice as much or as steep. "
0,"





![IMG_13F0C48D5014-1 5.jpeg](https://usercontent.crowdmark.com/6825de4e-51f6-4bb5-b991-baee005b8cde.jpeg)





"
0,"We don't know the base of the ladder or how much the ladder moved horizontally when the slope increased. Without the horizontal component, its difficult to make an informed opinion on the slope of the ladder. "
0,"Even after trying to formulate a response by setting up 2 different equations of the slope before and after, there is not enough information given to answer this problem. "
1,"The slope is represented by the equation m=rise/run. If the rise is doubled, the ladder is still the same length so it will not reach out to the same run as before (and the value of the run is unknown) the rise will double and the run will shrink which makes the slope more than double"
0,"





![IMG-6880.jpg](https://usercontent.crowdmark.com/8bc287aa-7fc8-4d90-ad62-0c0086f150fb.jpg)





"
0,the new slope of the ladder is likely 2x what it was before because the length of it being against the wall was doubled.
1,"If the stick was the same length as before but is now 2 times the distance it was from before, then the bottom of the stick must be closer to the base of the wall. If the height had doubled but the distance from the wall was the same, then the slope would have been twice of what it had been before. But since the distance from the wall is lesser than that, I knew that that the rise/run value is higher than twice of what it was before."
0,"the ladder can be seen as a linear function of y=mx+b. With 2x, the slope of the function doubles. "
0,"We would also need the length of the base in order to figure out whether the slope has gotten steeper or not, also by how much did it got steeper by. "
1,"When the height of the ladder changes, the distance of how far the ladder is from the wall on the floor changes as well. Since both factors are being altered as the ladder is straightened, the slope would be more than twice what it was before."
0,"





![Q13.png](https://usercontent.crowdmark.com/e04dbb78-5337-441d-8a84-af6169509c19.png)





"
0,"





![C0C5FC96-2679-4CB7-88B8-45E9DB6778A8.jpeg](https://usercontent.crowdmark.com/d2547d41-c99c-48c3-b381-49ebbc20a215.jpeg)





"
0,"It is indicated that the height of the first ladder is x. The height of the second ladder is labelled 2x. Therefore, the slope of the ladder has increased to twice what it was before."
0,We dont have enough information to find the answer.
0,using rise/run if rise doubles run halves so 2/.5= 4 in ratio with 1 it is greater than twice it was before
1,We see that x doubles in the before and after but have no idea about the other axis so I am not sure how we would solve it with the limited information we are given. 
0,"due to the lack of information given about the run of the slope, the bottom of the ladder, it is changing between the two ladders, therefore, there is not enough info to determine if any of the a through d is correct. "
0,"





![IMG_F6D90E0D2396-1.jpeg](https://usercontent.crowdmark.com/25c79bde-6d9e-4280-b0dc-9f79d058ef09.jpeg)





"
0,"i subbed in numbers as the length and width, used the Pythagorean theorem, found the hypotenuse and the hypotenuse and the length (doubled this time), then found the width resulting in this answer. "
1,The base decreases by two and the height increases by 2 so the slope becomes twice as big.
0,you only know one of the side lengths of the triangle is given so there is not enough information to calculate the exact slope and therefore not enough information to determine if one slope is twicve the other
1,"Because the ladder is the same length in both scenarios the rise and run in each scenario are inversely proportional to each other, meaning if the rise in one scenario increases by a factor, the run of the other scenario decreases by the same factor."
0,I genuinely also don't know about this one. 
0,"if the ladder is of fixed length, and the height from the bottom of the floor goes from x to 2x, the rise of the slope must be double."
0,Not enough info.
0,Height increased twice therefore slope doubles (cannot decrease or remain the same)
0,"This problem would not work for all triangles as if the side were (a < 2x; a denoting the side length of the hypotenuse and x denoting the height being doubled.), this would not satisfy the solution. Take the example of 5, 12 and 13 triangle (the side lengths corresponding to a right angle triangle's length respectively. If the height was 5 and you doubled it to 10, with the hypotenuse staying the same length  it would change the horizontal length. 











10^2 + x^2 (denoting the new horizontal length) = 13^2





x^2 = 69





x = 8.3 (approx.)











The original graph's slope would be 5/12. The new slope would be 10/8.3 meaning the slope would be more than doubled the original equation. "
0,"i used another equation as an example. the rise and run would be of different values 





"
0,"first slope is 1/2x, second slope is 2x, making it 4x larger, assuming that the length of the ladder remains the same."
1,"This is because: 





slope = rise/run





The rise was x before and the rise after is 2x. Therefore, the rise is twice what it was before. 





The run was more before then what it is now. This means that when calculating the slope, rise would be divided by a smaller number. Therefore, the slope is more than twice of what it was before.  "
1,this is because not only is the rise increasing but the run is decreasing therefore there would be more value of rise being divided by less value of run which would result in it being more than twice as before.
1,"In order to calculate slope, you must do m=rise/run. By doubling the distance from the top of the ladder to the floor, you are increasing the rise by a factor of 2. However, the run also decreases because by increasing the height, you must shift the ladder and shorten the distance between the base of the ladder and the base of the wall. Decreasing the run also increases the slope, thus the slope of the ladder will be more than twice what it was before."
1,"although the height of the ladder increased by a value of 2 which is the rise, the run also decreases. Since  slope is rise/run, with rise increasing and run decreasing, the slope is greater than 2. "
0,slope reps a change in both x and y values which shows there isn't an increase in just one variable.
1,I believe that it will be more than twice as it was before because if the ladder is a fixed size and the height has just increased then the distance from the wall has decreased causing the slope to have increased by more than double. 
1,The slope of the ladder is more than twice what it was before since the difference in the y direction was increased while the difference in the x direction was decreased.
0,"the equation for the first ladder is y=x+b, while the equation for the second ladder would be y=2x+b. The coefficient before the x indicates the slope and therefore the slope of the second ladder would be exactly double the slope of the first."
1,"When the rise doubles the run splits in half because we're looking at a linear function. The slope becomes inverted therefore if the slope was previously 1/2 which equals 0.5, it is now 2/1 which is equal to 2, therefore it is more than twice what it was before."
0,"I believe that the slope will not be less than or the same as the height of the top of the ladder has been changed. However, I am unsure if there is enough information to mathematically determine whether or not the ladder is exactly twice what it was before or more than twice."
0,Slope is simply twice as steep
0,"ie:





Before has coordinates (0,3) and (5,0) --> m = 0.6





After has coordinates (0,6) and (5,0) --> m = 1.2





"
0,slope is the rise over the run. The base is changing but the ladder is constant. The slope of 1 is less steep than the slope of 2. 
0,you adjusted a fixed object. the slope will definitely change to be steeper if it is given less space to support its weight.
1,"doubled the rise and run decreased, so the slope must be greater than twice it was before"
0,"i chose this because the height of the ladder is doubled, so the slope would be doubled aswell. "
0,"After you adjusted the ladder, the slope got steeper. Therefore if its by 2 it will be by 2"
1,"m= rise/run. The new slope is twice the original rise and less the original run. Therefore, the new m= ((2)(rise))/(smaller run) which is larger than ((2)(rise))/run."
1,"Since the rise is twice the original rise, and the run is less than the original run 





and slope = rise/run 





the slope will be more than twice what it was before "
1,"If the distance of the ladder remained the same and travelled up the wall to twice the height of before, then the slope would be exactly double. Since the ladder is a fixed length, the distance from the wall decreased therefore the slop cannot be exactly double."
0,"the slope is related to x and y. The information only shows that change in y, there is no information about x. therefore, could not determine change in slope"
0,"the only information given is the change in height of the ladder (distance between floor to top of ladder), we also would need the change in width (distance between bottom of ladder to wall)"
0,"formula for a slope is y=mx+b, if x is doubled the slope should be steeper."
0,using slope (rise over run) it would logically double
0,"





![Baseline_Q13.jpg](https://usercontent.crowdmark.com/0ed42057-de84-436e-b823-adb5cd560940.jpg)





"
0,"





![IMG_CDE3AD6F4E84-1.jpeg](https://usercontent.crowdmark.com/4f60fd95-b35a-4219-aeec-746beaa84b88.jpeg)





"
1,"Slope = rise/run. Rise doubled, while run decreased. So more than twice total increase for slope."
1,"The horizontal distance between the base of the ladder and the wall deceases as the vertical distance from the top increases, so the slope changes by a factor greater than the change in vertical distance."
0,"I tested it out with random numbers using the Pythagorean theorem and the slope formula and found that the slope was increased three-fold, which is more than two."
0,idk ;_;
0,"Taking the equation y=mx+c, and keeping the the c =constant (0)





we can derive the relationship y=mx -->y/x=m. This implies that x is inversely proportional to the M value.





As the m increases the x will decrease at the same proportion.  "
0,23412342314124
1,"The length of the ladder is the exact same in both questions, and we know the relation of the height of the ladder's in both question. We can plug in actual numbers to check the slope of both questions. I made the ladder length 10m, and x = 2m. We can use the pythagorean theorem to find the length of the wall to the bottom of the ladder. If we calculate the slope, we will see that AFTER is more than double the slope of BEFORE.





![13.png](https://usercontent.crowdmark.com/3919ecb3-b6d8-4af3-a161-d67f0a3ec4da.png)





"
0,"The height increased by 2 so the slope did as well, since it's rise increased and run decreased."
0,The slope went from x to 2x meaning that it was doubled. 
0,slope formula x/y if x is twice as large then the slope is twice as large
0,Without knowing the value of the length of the ladder along the floor it's impossible to know by what value exactly the slope changed.
0,"im not sure, actually"
0,"=risex2/run2





=1x2/12





=2/0.5





=4











1:4 ratio





This means that the slope increases by more than 2"
0,You dont know the bottom length so you are unable to tell the slope 
0,"The height determines that the ladder doubles, as it is labeled 2z which means the height has been doubled. "
0,I dont think there is enough information in the graph to see if the slope of the ladder is exactly doubled because the x axis is not labelled with any numbers so we dont know if the slop is actually half. In the graph you can see that the y-intercept is doubled.
0,"Looking at both the graphs, you can tell the approximate slope of each one by thinking about rise/run. In the first graph, the run is more than the rise which is why it isnt as steep but in graph 2 the rise is greater than the run so its more steep. This means that the slope in graph 2 will be more than it was before. "
1,"1. Let L represent the length of the ladder, and s represent the horizontal line from the corner to where the ladder touches the ground.





before: 





s=(L^2 - x^2)





after: 





s=(L^2 - 4x^2)





2. Therefore the slopes are as follows:





mBefore = x/((L^2 - x^2))





mAfter = 2x/((L^2 - 4x^2))





3. Simplify mA to the following (divide out 2)





mA= x/(((L^2)/4)-x)





4. Find ratio of slopes mA/mB. Simply to the following:





ratio= (L^2 - x^2)/((L^2)/4 - x^2))





5. For the above function, there are two limits. 0, and L/2 (L/2 is because if it was more than  that, the height would be higher than the length of the ladder, which is impossible.)





As x approaches 0, ratio approaches 2. 





(L^2 - 0)/(L^2/4 -x^2) = L/(L/2) = 2





As x approaches L/2, ratio approaches positive infinity, because the denominator would be close to 0.





Therefore, the range of the ratio of the slope is between 2 and positive infinity, so the slope of the ladder is more than twice it was before. "
0,"The scale factor is a constant, because its continuously being multiplied by two."
0,"using the sin relation, sin=opposite/hypotenuse, where x is the opposite and h is the hypotenuse, for the first position sin=x/h, and for the second sin= 2x/h. H is the same for both of them since it is the same ladder, therefore the angle of the ladder will be double what it was before and so will the slope. "
1,"When you increase the slope of the ladder, if you only moved the top (and didnt decrease the distance between the bottom of the ladder and the wall), the final result would have a slope of double the height. (This obviously makes no sense because the ladder couldnt reach that far). So, instead, what you do is think about the fact that the height does indeed increase on the vertical wall, but the base of the ladder also gets closer to the corner of the wall. This would then potentially imply that the slope is double the original value. The run of the slope becomes decreased, while the rise is increased. "
0,"According to Pythagoras theorem, it is more than twice."
1,"We know that m  m=rise/run 











Now its 2x the original rise, and 1/2 the original run. 











The new m would be (2*rise)/ (smaller run)"
